kind,status,is_active,status_label,relevance_score,title,title_en,organization,supplier,amount,contract_value,budget_amount,currency,currency_code,budget_scope,cpv,special_number,publication_date,contract_date,deadline,url,query,source
tender,closed,False,Closed,133,"Доставка и интеграция на разширение на системата, осигуряваща дейностите по управление на киберсигурността на критичните системи на стратегическите обекти",,"Държавна агенция ""Национална сигурност""",,2505330.22,,2505330.22,1,EUR,Estimated value: 2 505 330.22 EUR,48000000,01666-2026-0001,2026-03-05T03:19:52.503000+00:00,,2026-04-06T17:59:59+00:00,https://app.eop.bg/today/tenders/548187,48000000,advanced_tenders_cpv
tender,closed,False,Closed,133,"Проектиране, изграждане и внедряване на система за управление на вещевото имущество във военните магазини и вещевото осигуряване на военнослужещите",,Министерство на отбраната,,708333.0,,708333.0,3,BGN,Estimated value: 708 333 BGN,48000000,00164-2024-0030,2024-11-20T08:31:21.330000+00:00,,2024-12-19T19:59:59+00:00,https://app.eop.bg/today/tenders/392616,48000000,advanced_tenders_cpv
tender,closed,False,Closed,129,Абонамент за лицензиран достъп до: „EBSCO Discovery Service (EDS)”; „OpenAthens” c две обособени позиции,,УНИВЕРСИТЕТ ЗА НАЦИОНАЛНО И СВЕТОВНО СТОПАНСТВО,,60000.0,,60000.0,3,BGN,Estimated value: 60 000 BGN,72260000,00062-2025-0077,2025-12-01T10:58:06.503000+00:00,,2026-01-06T19:59:59+00:00,https://app.eop.bg/today/tenders/541547,72260000,advanced_tenders_cpv
tender,closed,False,Closed,129,"Извънгаранционно обслужване на системите ""Акстър-офис"", ""Акстър комуникатор"" и комуникационни модули",,СТОЛИЧНА ОБЩИНА,,85100.0,,85100.0,3,BGN,Estimated value: 85 100 BGN,48000000,00087-2024-0025,2024-05-10T14:47:18.746000+00:00,,2024-05-22T17:59:00+00:00,https://app.eop.bg/today/tenders/372136,48000000,advanced_tenders_cpv
tender,closed,False,Closed,125,Развитие и въвеждане на Институционална архитектура на Агенция „Митници“ по отношение на модул „Произход и движение на стоките“ върху Cloud архитектура,,"АГЕНЦИЯ ""МИТНИЦИ""",,509758.01,,509758.01,1,EUR,Estimated value: 509 758.01 EUR,72000000,00334-2026-0016,2026-03-19T03:25:16.086000+00:00,,2026-05-14T17:59:59+00:00,https://app.eop.bg/today/tenders/551312,72000000,advanced_tenders_cpv
tender,closed,False,Closed,125,„Внедряване на информационна система за интелигентно сметосъбиране и сметоизвозване,,ОБЩИНА - СТАРА ЗАГОРА,,389686.0,,389686.0,3,BGN,Estimated value: 389 686 BGN,72260000,00774-2025-0069,2025-07-17T07:20:15.386000+00:00,,2025-08-15T17:59:59+00:00,https://app.eop.bg/today/tenders/509562,72260000,advanced_tenders_cpv
tender,closed,False,Closed,125,"„Надграждане на системите за наблюдение на риболова и Информационно-статистическата система на ИАРА, с цел интегриране с Национална мрежа за Интегрирано морско наблюдение“",,ИЗПЪЛНИТЕЛНА АГЕНЦИЯ ПО РИБАРСТВО И АКВАКУЛТУРИ,,853000.0,,853000.0,3,BGN,Estimated value: 853 000 BGN,72260000,00097-2025-0008,2025-06-11T08:32:01.230000+00:00,,2025-07-10T17:59:59+00:00,https://app.eop.bg/today/tenders/493124,72260000,advanced_tenders_cpv
tender,closed,False,Closed,125,„Внедряване на информационна система за интелигентно сметосъбиране и сметоизвозване“,,ОБЩИНА - СТАРА ЗАГОРА,,389686.0,,389686.0,3,BGN,Estimated value: 389 686 BGN,72260000,00774-2025-0045,2025-05-30T06:57:04.566000+00:00,,2025-06-27T17:59:59+00:00,https://app.eop.bg/today/tenders/485502,72260000,advanced_tenders_cpv
tender,closed,False,Closed,125,"„Доставка, интеграция, внедряване и поддръжка на платформа ""Единно гише"" и модули за административни и финансови услуги“",,БЪЛГАРСКИ ПОЩИ ЕАД,,1000000.0,,1000000.0,3,BGN,Estimated value: 1 000 000 BGN,48000000,00276-2024-0043,2024-12-02T08:14:02.483000+00:00,,2024-12-30T19:59:59+00:00,https://app.eop.bg/today/tenders/443913,48000000,advanced_tenders_cpv
tender,closed,False,Closed,125,"„Изпълнение на дейности по експлоатационна поддръжка на Платформа eCity и модул за SMS паркиране, по обособени позиции”",,ОБЩИНА ВЕЛИКО ТЪРНОВО,,70720.0,,70720.0,3,BGN,Estimated value: 70 720 BGN,72200000,00073-2024-0016,2024-05-02T11:29:36.050000+00:00,,2024-05-07T17:59:00+00:00,https://app.eop.bg/today/tenders/384768,72200000,advanced_tenders_cpv
tender,closed,False,Closed,125,Доставка и внедряване за нуждите на Община Русе на система за сигнали (контактен център за неспешни обаждания) и мобилно приложение към нея.,,ОБЩИНА РУСЕ,,59000.0,,59000.0,3,BGN,Estimated value: 59 000 BGN,72260000,00115-2023-0056,2023-06-01T14:20:07.833000+00:00,,2023-06-21T17:59:00+00:00,https://app.eop.bg/today/tenders/305685,72260000,advanced_tenders_cpv
tender,closed,False,Closed,122,Абонамент за автоматизирана библиотечно - информационна система (АБ УЕБ),,УНИВЕРСИТЕТ ЗА НАЦИОНАЛНО И СВЕТОВНО СТОПАНСТВО,,4000.0,,4000.0,1,EUR,Estimated value: 4 000 EUR,72000000,00062-2026-0045,2026-07-22T08:05:42.453000+00:00,,2026-08-11T17:59:59+00:00,https://app.eop.bg/today/tenders/596817,72000000,advanced_tenders_cpv
tender,closed,False,Closed,122,Продължаване на договор за абонамент на автоматизирана библиотечно - информационна система (АБ УЕБ),,УНИВЕРСИТЕТ ЗА НАЦИОНАЛНО И СВЕТОВНО СТОПАНСТВО,,4166.67,,4166.67,3,BGN,Estimated value: 4 166.67 BGN,72000000,00062-2025-0039,2025-07-07T10:48:30.203000+00:00,,2025-07-24T17:59:59+00:00,https://app.eop.bg/today/tenders/504200,72000000,advanced_tenders_cpv
tender,closed,False,Closed,122,Подобряване на националната система за спешни комуникации 112.,,Министерство на вътрешните работи,,42043483.16,,42043483.16,3,BGN,Estimated value: 42 043 483.16 BGN,48800000,00752-2025-0003,2025-02-14T08:05:37.916000+00:00,,2025-04-28T17:59:59+00:00,https://app.eop.bg/today/tenders/420493,48800000,advanced_tenders_cpv
tender,closed,False,Closed,119,"„Осигуряване на консолидационна платформа за база данни, предоставяна като услуга и доставка на лицензи за софтуерни продукти за нуждите на основни системи на НЗОК (ЕXADATA 2 - Резервен център) за нуждите на Национална здравноосигурителна каса (НЗОК)“",,ИНФОРМАЦИОННО ОБСЛУЖВАНЕ АД,,1728780.11,,1728780.11,1,EUR,Estimated value: 1 728 780.11 EUR,72000000,05948-2026-0003,2026-01-08T03:19:13.640000+00:00,,2026-02-05T19:59:59+00:00,https://app.eop.bg/today/tenders/549283,72000000,advanced_tenders_cpv
tender,closed,False,Closed,119,„Доставка на лицензи за поддръжка и права на ползване за софтуерни продукти и развитие на Технологичната архитектура на Агенция „Митници“,,"АГЕНЦИЯ ""МИТНИЦИ""",,9249708.0,,9249708.0,3,BGN,Estimated value: 9 249 708 BGN,48000000,00334-2025-0020,2025-10-10T02:50:37.580000+00:00,,2025-11-10T19:59:59+00:00,https://app.eop.bg/today/tenders/504027,48000000,advanced_tenders_cpv
tender,closed,False,Closed,119,"„Разработване на единен портал, включващ уеб интерактивни електронни страници на Български пощи ЕАД, СП „ЕМС/ Булпост“, СП „БФН“ с включена поддръжка за срок от 5 години“",,БЪЛГАРСКИ ПОЩИ ЕАД,,60000.0,,60000.0,3,BGN,Estimated value: 60 000 BGN,,00276-2021-0023,2021-12-17T18:38:29.346000+00:00,,2022-01-13T21:59:00+00:00,https://app.eop.bg/today/tenders/151763,портал,quick_search
tender,closed,False,Closed,118,"Доставка, внедряване и поддръжка на хардуерно оборудване и софтуер за осъществяване на автоматизиран контрол на навлизане и движение на моторни превозни средства в зоните с ниски емисии на вредни вещества на територията на Община Пловдив",,ОБЩИНА ПЛОВДИВ,,3709700.0,,3709700.0,3,BGN,Estimated value: 3 709 700 BGN,48000000,00267-2025-0140,2025-12-26T03:15:41.566000+00:00,,2026-01-29T19:59:59+00:00,https://app.eop.bg/today/tenders/548520,48000000,advanced_tenders_cpv
tender,closed,False,Closed,115,"Избор на изпълнител за разработване, доставка, внедряване на CMS и туристически уеб портал, включително проучване, анализ и дигитализация на туристически маршрути и техническа поддръжка",,ОБЩИНА ГОРНА МАЛИНА,,41678.94,,41678.94,1,EUR,Estimated value: 41 678.94 EUR,,00747-2026-0002,2026-03-27T13:43:44.746000+00:00,,2026-04-07T20:59:59+00:00,https://app.eop.bg/today/tenders/570350,уеб портал,quick_search
tender,closed,False,Closed,115,"Подновяване на абонаменти за софтуерни продукти за Единната система за управление на информационната сигурност, събития и уязвимости, свързани с информационните активи на Столична община и районните администрации",,СТОЛИЧНА ОБЩИНА,,500000.0,,500000.0,3,BGN,Estimated value: 500 000 BGN,72000000,00087-2025-0274,2025-12-02T03:19:04.963000+00:00,,2026-01-05T19:59:59+00:00,https://app.eop.bg/today/tenders/533061,72000000,advanced_tenders_cpv
tender,closed,False,Closed,115,"„Разработване на уеб сайта на „Комисия за защита от дискриминация“ с портал за електронни услуги за граждани, работодатели и други заинтересовани страни по проект BG05SFPR002-1.008-0001 „Подобряване на превенцията на дискриминацията на пазара на труда чрез модернизация и укрепване на КЗД“ по Договор BG05SFPR002-1.008-0001- C01, финансиран от Програма „Развитие на човешките ресурси“ 2021-2027“",,КОМИСИЯ ЗА ЗАЩИТА ОТ ДИСКРИМИНАЦИЯ,,104167.0,,104167.0,3,BGN,Estimated value: 104 167 BGN,72260000,01089-2025-0001,2025-04-16T12:45:22.266000+00:00,,2025-05-07T17:59:59+00:00,https://app.eop.bg/today/tenders/487560,72260000,advanced_tenders_cpv
tender,closed,False,Closed,115,"„Разработване на уеб сайта на „Комисия за защита от дискриминация“ с портал за електронни услуги за граждани, работодатели и други заинтересовани страни по проект BG05SFPR002-1.008-0001 „Подобряване на превенцията на дискриминацията на пазара на труда чрез модернизация и укрепване на КЗД“ по Договор BG05SFPR002-1.008-0001-C01, финансиран от Програма „Развитие на човешките ресурси“ 2021-2027“",,КОМИСИЯ ЗА ЗАЩИТА ОТ ДИСКРИМИНАЦИЯ,,104167.0,,104167.0,3,BGN,Estimated value: 104 167 BGN,72260000,01089-2024-0004,2024-12-20T12:11:16.420000+00:00,,2025-01-10T19:59:59+00:00,https://app.eop.bg/today/tenders/451651,72260000,advanced_tenders_cpv
tender,closed,False,Closed,115,„Дигитализация и съхранение на данни за териториално-селищно устройство и общинска собственост на Община Пловдив и разработка на Географска информационна система (ГИС) за визуализация и управлението им“,,ОБЩИНА ПЛОВДИВ,,16666666.67,,16666666.67,3,BGN,Estimated value: 16 666 666.67 BGN,,00267-2024-0116,2024-11-07T09:57:09.833000+00:00,,2025-02-26T21:59:59+00:00,https://app.eop.bg/today/tenders/422626,дигитализация,quick_search
contract,awarded,False,Awarded,115,"Модернизиране и адаптиране на основната информационна система на АЗ „Национална база данни” /ИС „НБД”/ към динамична интегрирана дигитална среда с оглед „отваряне“ на системата за развитие, обмен и взаимодействие с други електронни системи, платформи и софтуерни приложения",,АГЕНЦИЯ ПО ЗАЕТОСТТА,Бул Ес Ай ООД,,4880000.0,4880000.0,3,BGN,Contract value: 4 880 000 BGN,72200000,00311-2024-0005,2024-06-28T03:45:20+00:00,2024-06-12T21:00:00+00:00,,https://app.eop.bg/today/tenders/350876,72200000,contracts_cpv
tender,closed,False,Closed,115,„Абонаментна поддръжка на информационна система за контрол и управление на автомобилния парк на „Автомагистрали ЕАД”,,АВТОМАГИСТРАЛИ ЕАД,,68550.0,,68550.0,3,BGN,Estimated value: 68 550 BGN,48000000,06445-2023-0006,2023-11-16T11:44:52.160000+00:00,,2023-11-27T19:59:00+00:00,https://app.eop.bg/today/tenders/341859,48000000,advanced_tenders_cpv
tender,closed,False,Closed,114,„Развитие и въвеждане на Институционална/Корпоративна архитектура на Агенция „Митници“ по отношение на Система за управление на разрешенията върху Cloud архитектура“,,"АГЕНЦИЯ ""МИТНИЦИ""",,1637667.9,,1637667.9,1,EUR,Estimated value: 1 637 667.90 EUR,72000000,00334-2026-0004,2026-01-23T03:33:34.803000+00:00,,2026-03-09T19:59:59+00:00,https://app.eop.bg/today/tenders/550879,72000000,advanced_tenders_cpv
tender,closed,False,Closed,114,Разработване на специализиран лабораторен софтуер,,МИНИСТЕРСТВО НА ЗДРАВЕОПАЗВАНЕТО,,627395.42,,627395.42,3,BGN,Estimated value: 627 395.42 BGN,72000000,00080-2025-0023,2025-09-03T03:24:32.056000+00:00,,2025-10-02T17:59:59+00:00,https://app.eop.bg/today/tenders/521739,72000000,advanced_tenders_cpv
tender,closed,False,Closed,114,„Поддръжка и предоставяне на права за ползване на информационна система за лицензите в администрацията (ИСЛА) за нуждите на Администрацията на Министерския съвет (АМС)“,,ИНФОРМАЦИОННО ОБСЛУЖВАНЕ АД,,8330.0,,8330.0,3,BGN,Estimated value: 8 330 BGN,72000000,05948-2025-0065,2025-08-11T08:00:42.173000+00:00,,2025-08-22T17:59:59+00:00,https://app.eop.bg/today/tenders/509604,72000000,advanced_tenders_cpv
tender,closed,False,Closed,114,"„Изграждане на платформа с адаптивно-аналитичен софтуер, с възможност за самообучение, обработка и анализ на данни (изкуствен интелект) на социалната и солидарна икономика“",,МИНИСТЕРСТВО НА ТРУДА И СОЦИАЛНАТА ПОЛИТИКА,,1326726.33,,1326726.33,3,BGN,Estimated value: 1 326 726.33 BGN,72230000,00422-2025-0002,2025-03-17T08:13:48.093000+00:00,,2025-04-25T17:59:59+00:00,https://app.eop.bg/today/tenders/405285,72230000,advanced_tenders_cpv
tender,closed,False,Closed,114,"„Изграждане на платформа с адаптивно-аналитичен софтуер, с възможност за самообучение, обработка и анализ на данни (изкуствен интелект) на социалната и солидарна икономика“",,МИНИСТЕРСТВО НА ТРУДА И СОЦИАЛНАТА ПОЛИТИКА,,1326726.33,,1326726.33,3,BGN,Estimated value: 1 326 726.33 BGN,72230000,00422-2024-0006,2024-03-11T08:02:07.430000+00:00,,2024-06-24T17:59:00+00:00,https://app.eop.bg/today/tenders/350301,72230000,advanced_tenders_cpv
tender,closed,False,Closed,114,Доставка на софтуер за резервиране на данни,,Дирекция Комуникационни и Информационни системи,,41666.67,,41666.67,3,BGN,Estimated value: 41 666.67 BGN,48000000,05401-2023-0017,2023-10-11T07:12:19.703000+00:00,,2023-11-03T19:59:00+00:00,https://app.eop.bg/today/tenders/327607,48000000,advanced_tenders_cpv
tender,active,True,Active,110,„Развитие и въвеждане на Институционална архитектура на АМ по отношение на Система за управление на идентичностите и достъпа (СУИД)“,,"АГЕНЦИЯ ""МИТНИЦИ""",,1430000.0,,1430000.0,1,EUR,Estimated value: 1 430 000 EUR,72000000,00334-2026-0030,2026-09-17T02:05:18.966000+00:00,,2026-10-19T17:59:59+00:00,https://app.eop.bg/today/tenders/604633,72000000,advanced_tenders_cpv
tender,active,True,Active,110,"„Разработка и внедряване на електронен център за държавни помощи, за нуждите на Министерството на финансите“",,ИНФОРМАЦИОННО ОБСЛУЖВАНЕ АД,,33233.97,,33233.97,1,EUR,Estimated value: 33 233.97 EUR,72000000,05948-2026-0072,2026-09-14T02:03:37.400000+00:00,,2026-10-13T17:59:59+00:00,https://app.eop.bg/today/tenders/581330,72000000,advanced_tenders_cpv
tender,active,True,Active,110,„Осигуряване на право на ползване на софтуерно решение за валидиране и генериране на Excel файлове по Таксономия и за съхранение и експорт на данни към външна база данни“,,КОМИСИЯ ЗА ФИНАНСОВ НАДЗОР,,75000.0,,75000.0,1,EUR,Estimated value: 75 000 EUR,48000000,00061-2026-0008,2026-08-27T02:11:42.943000+00:00,,2026-09-25T17:59:59+00:00,https://app.eop.bg/today/tenders/597525,48000000,advanced_tenders_cpv
tender,closed,False,Closed,110,Продължаване на договор за абонамент на онлайн каталог Eclipse,,УНИВЕРСИТЕТ ЗА НАЦИОНАЛНО И СВЕТОВНО СТОПАНСТВО,,1300.0,,1300.0,1,EUR,Estimated value: 1 300 EUR,72260000,00062-2026-0046,2026-07-23T02:05:10.830000+00:00,,2026-08-24T17:59:59+00:00,https://app.eop.bg/today/tenders/594618,72260000,advanced_tenders_cpv
tender,closed,False,Closed,110,"„Надграждане и разширяване на информационно-технологичната среда на Патентното ведомство за подобряване на ефективността, достъпността и познанието за системата за закрила на индустриална собственост и създаване на модули за кандидатстване на МСП за финансова подкрепа по процедура чрез директно предоставяне на безвъзмездна финансова помощ BG16RFPR001-1.007“",,ПАТЕНТНО ВЕДОМСТВО НА РЕПУБЛИКА БЪЛГАРИЯ,,968898.11,,968898.11,1,EUR,Estimated value: 968 898.11 EUR,72000000,00738-2026-0001,2026-07-03T02:27:40.610000+00:00,,2026-08-03T17:59:59+00:00,https://app.eop.bg/today/tenders/584797,72000000,advanced_tenders_cpv
contract,awarded,False,Awarded,110,„Адаптиране на електронни заявления към модул Archimed Online Services и интеграция с Информационна система „Национална база данни на пазара на труда“ за използване на актуалния Списък на професиите за професионално образование и обучение. Разработка на възможност за идентификация на заявителите в Archimed Online Services със Системата за електронна автентикация на Министерство на електронното управление. Адаптиране на електронните заявления към модул Archimed Online Services за използване на ЕК,,АГЕНЦИЯ ПО ЗАЕТОСТТА,ДАВИД ХОЛДИНГ АД,,18200.0,18200.0,1,EUR,Contract value: 18 200 EUR,72212000,00311-2026-0012,2026-06-04T23:02:31+00:00,2026-05-25T21:00:00+00:00,,https://app.eop.bg/today/tenders/577207,разработка на софтуер,contracts_subject
tender,closed,False,Closed,110,"Абонаментна поддръжка, актуализиране и усъвършенстване на болничната информационна система (БИС) Global Hospital, внедрена в МБАЛ „Лозенец“ ЕАД",,"Многопрофилна болница за активно лечение "" Лозенец "" ЕАД",,87500.0,,87500.0,1,EUR,Estimated value: 87 500 EUR,72260000,05947-2026-0007,2026-05-12T10:39:25.426000+00:00,,2026-05-15T17:59:59+00:00,https://app.eop.bg/today/tenders/583391,72260000,advanced_tenders_cpv
tender,closed,False,Closed,110,"„Надграждане на функционалностите и обхвата на обработваните данни на информационната система „Национален център за електронен документооборот на морския транспорт“, съгласно изискванията на Регламент (ЕС) 2019/1239 на Европейския парламент и на Съвета от 20 юни 2019 година за създаване на единна европейска среда за морско информационно обслужване (EMSWe) и за отмяна на Директива 2010/65/ЕС“",,ПРИСТАНИЩНА ИНФРАСТРУКТУРА ДП,,2000000.0,,2000000.0,3,BGN,Estimated value: 2 000 000 BGN,72260000,01158-2025-0053,2025-12-05T05:10:13.843000+00:00,,2026-01-16T19:59:59+00:00,https://app.eop.bg/today/tenders/496917,72260000,advanced_tenders_cpv
tender,closed,False,Closed,110,Разработване и внедряване на система за управление и комерсиализация на интелектуална собственост и активи на научноизследователска и развойна дейност (НИРД),,"СОФИЙСКИ УНИВЕРСИТЕТ ""СВ.КЛИМЕНТ ОХРИДСКИ""",,300000.0,,300000.0,3,BGN,Estimated value: 300 000 BGN,72260000,00640-2025-0053,2025-11-17T03:59:46.800000+00:00,,2025-12-16T19:59:59+00:00,https://app.eop.bg/today/tenders/538776,72260000,advanced_tenders_cpv
contract,awarded,False,Awarded,110," 	Договор за системна интеграция по чл. 7с от ЗЕУ с предмет: „Развитие, оптимизация и поддръжка на Информационна система за управление и наблюдение (ИСУН 2020)“ във връзка с проект „Дигитална трансформация при управлението на средствата от ЕС“",,Министерство на електронното управление,ИНФОРМАЦИОННО ОБСЛУЖВАНЕ АД,,6714167.0,6714167.0,3,BGN,Contract value: 6 714 167 BGN,72000000,T529868,2025-10-07T23:51:25+00:00,2025-10-01T21:00:00+00:00,,https://app.eop.bg/today/tenders/529868,72000000,contracts_cpv
contract,awarded,False,Awarded,110,„Дигитализация и съхранение на данни за териториално-селищно устройство и общинска собственост на Община Пловдив и разработка на Географска информационна система (ГИС) за визуализация и управлението им“,,ОБЩИНА ПЛОВДИВ,ГЕОПРОЕКТ - ПРИМОРСКО ЕООД; МАПЕКС АД,,16666520.0,16666520.0,3,BGN,Contract value: 16 666 520 BGN,72262000,00267-2024-0116,2025-09-24T23:58:45+00:00,2025-06-18T21:00:00+00:00,,https://app.eop.bg/today/tenders/422626,дигитализация,contracts_subject
tender,closed,False,Closed,110,"Надграждане на РДПЗСД с нов модул за професионални квалификации на учителите, директорите и другите педагогически специалисти",,НАЦИОНАЛЕН ЦЕНТЪР ЗА ИНФОРМАЦИЯ И ДОКУМЕНТАЦИЯ,,1666666.67,,1666666.67,3,BGN,Estimated value: 1 666 666.67 BGN,72200000,00345-2025-0005,2025-09-03T02:38:26.286000+00:00,,2025-10-02T17:59:59+00:00,https://app.eop.bg/today/tenders/514156,72200000,advanced_tenders_cpv
tender,closed,False,Closed,110,Осигуряване на право на ползване на софтуерно решение за валидиране и генериране на Excel файлове по Таксономия и за съхранение и експорт на данни към външна база данни,,КОМИСИЯ ЗА ФИНАНСОВ НАДЗОР,,120000.0,,120000.0,3,BGN,Estimated value: 120 000 BGN,48000000,00061-2025-0007,2025-08-27T02:18:49.566000+00:00,,2025-09-26T17:59:59+00:00,https://app.eop.bg/today/tenders/517304,48000000,advanced_tenders_cpv
tender,closed,False,Closed,110,„Надграждане на система за претегляне на генерираните битови отпадъци в населени места на територията на община Берковица“,,ОБЩИНА БЕРКОВИЦА,,360000.0,,360000.0,3,BGN,Estimated value: 360 000 BGN,72000000,00017-2025-0012,2025-06-02T12:53:44.656000+00:00,,2025-06-12T17:59:59+00:00,https://app.eop.bg/today/tenders/496318,72000000,advanced_tenders_cpv
contract,awarded,False,Awarded,110,„Изработване и внедряване на модул за съвместяване на ЕДИС с електронния портал за призоваване на ВСС и този на МЕУ относно страните по административните дела и за разработка и внедряване на информационен модул даващ възможност за цифрово отдалечено подаване и получаване на електронни документи по съдебни дела от страните и техните процесуални представители“,,ВЪРХОВЕН АДМИНИСТРАТИВЕН СЪД,СИРМА СОЛЮШЪНС ЕАД; СМАРТ СИСТЕМС 2010 ЕООД,,3049000.0,3049000.0,3,BGN,Contract value: 3 049 000 BGN,72000000,00048-2024-0005,2025-02-21T05:45:55+00:00,2024-12-09T22:00:00+00:00,,https://app.eop.bg/today/tenders/406266,уеб портал,contracts_subject
tender,closed,False,Closed,110,Осигуряване на право на ползване и 12 месечен абонамент за софтуерно решение за валидиране и генериране на Excel файлове по таксономия и за софтуерно решение за съхранение ... прод.в р-л II.2.9),,КОМИСИЯ ЗА ФИНАНСОВ НАДЗОР,,99990.0,,99990.0,3,BGN,Estimated value: 99 990 BGN,48000000,00061-2024-0004,2024-08-23T08:50:39.186000+00:00,,2024-09-03T17:59:59+00:00,https://app.eop.bg/today/tenders/406944,48000000,advanced_tenders_cpv
tender,closed,False,Closed,110,„Разработване на система за образуване на пощенските кодове в Република България“,,КОМИСИЯ ЗА РЕГУЛИРАНЕ НА СЪОБЩЕНИЯТА,,1666666.0,,1666666.0,3,BGN,Estimated value: 1 666 666 BGN,72230000,00610-2024-0004,2024-03-20T08:32:28.556000+00:00,,2024-05-07T17:59:00+00:00,https://app.eop.bg/today/tenders/354863,72230000,advanced_tenders_cpv
